,emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
59,0.12,z,LT+IOO,19.46,58593.1125,9669.8,19.43091670703133,9.705767159508293,9.912500000005819,-15.405749888291144,310029636600550.2,1453114.8977817928,160604.19369791631,5.2762601938456896e-14,5.8315382731713396e-15,16.357970305079277,1.8079496916535107,0.001691655494951217,0.00018696867480749453,2.024057650741996e+37,2.2370711875003527e+36,2019-04-20T02:42:00.000000251,2019 04 20
60,0.06,r,P48,19.44,58593.4315,6421.8,19.382741357745388,10.01811416821863,10.231500000001688,-15.453925237577092,466835557008938.3,1519043.0954583609,83945.42369323088,5.515645479609309e-14,3.0480583343012128e-15,25.74899429737244,1.4229420102892434,0.0040096225820443546,0.00022157993246274302,4.797494104441632e+37,2.6511932180673884e+36,2019-04-20T10:21:21.599999894,2019 04 20
61,0.17,g,P48,19.78,58593.4841,4814.0,19.69957464848702,10.069617154611182,10.2841000000044,-15.137091946835456,622751262982966.2,1134584.323738131,177648.43263972228,4.119675679493153e-14,6.450414589148315e-15,25.655332324845716,4.017003832155866,0.005329317059585731,0.0008344420091723857,6.376502189646718e+37,9.984058443380609e+36,2019-04-20T11:37:06.240000129,2019 04 20
62,0.2,g,LT+IOO,19.69,58594.1142,4795.5,19.609165092090453,10.686575932641269,10.914200000006533,-15.22750150323202,625153702429360.8,1233106.5404980842,227146.61905794768,4.4774098485485425e-14,8.247693737994083e-15,27.99069344113805,5.156076276810455,0.005836866529274955,0.0010751905488083527,6.983782685185287e+37,1.2864603122894056e+37,2019-04-21T02:44:26.880000313,2019 04 21
63,0.08,r,LT+IOO,19.5,58594.115,6187.6,19.44023852255557,10.687359248018089,10.915000000000873,-15.396428072766906,484505233046738.6,1440692.2803664003,106154.13018762473,5.2311536700104e-14,3.854456467112654e-15,25.345213279916912,1.8675043288669249,0.004096129885564178,0.00030181400363095954,4.900999676383989e+37,3.6111900145953327e+36,2019-04-21T02:45:35.999999824,2019 04 21
64,0.08,i,LT+IOO,19.48,58594.1158,7658.7,19.43579853773036,10.688142563402026,10.915800000002491,-15.40086805759212,391440398501051.1,1446595.8772459202,106589.12328105922,5.2525896302799366e-14,3.8702510663352614e-15,20.560757780392674,1.5149726197053923,0.0026846276496523785,0.00019781067540253466,3.212144050540916e+37,2.3667952023440083e+36,2019-04-21T02:46:45.119999964,2019 04 21
65,0.16,z,LT+IOO,19.52,58594.1167,9669.8,19.490916707031328,10.689023793206287,10.916700000001583,-15.345749888291145,310029636600550.2,1374991.3160153907,202626.20846421144,4.9925934684518837e-14,7.35735762933552e-15,15.478519387184178,2.2809989121631755,0.001600707293551488,0.00023588894415222408,1.915238565878825e+37,2.822399853644722e+36,2019-04-21T02:48:02.879999885,2019 04 21
66,0.1,g,LT+IOO,19.82,58595.0926,4795.5,19.739165092090452,11.644570645262403,11.892600000006494,-15.097501503232019,625153702429360.8,1093957.8808862076,100757.2443556775,3.9721610654978203e-14,3.658495542554649e-15,24.832111967417173,2.2871220337493523,0.005178211232909429,0.0004769308797308627,6.195704795928747e+37,5.706455001478897e+36,2019-04-22T02:13:20.640000310,2019 04 22
67,0.07,r,LT+IOO,19.6,58595.0935,6187.6,19.540238522555576,11.64545187506667,11.893500000005588,-15.296428072766904,484505233046738.6,1313926.9758705406,84712.00270182312,4.770868849385933e-14,3.0758928181031976e-15,23.11510923707157,1.4902861666618794,0.003735714855044213,0.00024085043743323408,4.469764828542004e+37,2.881763881749174e+36,2019-04-22T02:14:38.400000231,2019 04 22
68,0.07,i,LT+IOO,19.45,58595.0943,7658.7,19.405798537730355,11.646235190443482,11.89429999999993,-15.430868057592123,391440398501051.1,1487124.138611371,95878.4364439483,5.399747747297888e-14,3.4813460272797626e-15,21.13679410007438,1.3627394762384415,0.002759840978243616,0.00017793352347505992,3.3021364358860506e+37,2.1289660370450383e+36,2019-04-22T02:15:47.519999743,2019 04 22
