Wavelength (nm),u',Wavelength (nm),g',Wavelength (nm),r',Wavelength (nm),i',Wavelength (nm),z_s,Wavelength (nm),Y,Wavelength (nm),z'
481,6.98E-05,481,98.10253906,481,4.66E-05,481,-5.51E-05,481,0.00017765,481,4.41E-05,652.9000244,-0.026900392
482,5.95E-06,482,98.27147675,482,0.000216495,482,-6.56E-05,482,0.000547511,482,3.04E-05,652.7200317,-0.026978843
483,-3.40E-05,483,98.57164764,483,0.000215167,483,-4.85E-05,483,4.07E-05,483,5.75E-05,652.539978,-0.027050581
484,-2.89E-05,484,98.82777405,484,4.33E-05,484,3.83E-05,484,-4.68E-05,484,0.000162458,652.3599854,-0.026559699
485,-4.20E-05,485,98.77516937,485,2.86E-05,485,3.38E-05,485,-5.66E-05,485,0.000335184,652.1799927,-0.02659972
486,-2.23E-05,486,98.75871277,486,3.35E-05,486,3.13E-05,486,3.28E-05,486,0.001085003,652,-0.026466491
487,-1.29E-06,487,98.50346375,487,7.93E-05,487,0.00016435,487,0.000664082,487,0.003417572,651.8200073,-0.026398297
488,0.000118215,488,98.4642868,488,0.000611603,488,0.000208014,488,0.000400461,488,0.001157843,651.6400146,-0.026803255
489,0.000693574,489,98.63096619,489,0.001145625,489,7.98E-05,489,4.27E-05,489,0.000245828,651.460022,-0.026383493
490,0.005457068,490,98.66098785,490,0.000267978,490,0.000135753,490,0.000117382,490,0.000156726,651.2800293,-0.026161678
491,0.007326822,491,98.18034363,491,0.000163549,491,0.000331762,491,0.000365913,491,0.000193027,651.0999756,-0.026452146
492,0.002387648,492,97.84421539,492,0.000204525,492,0.000260606,492,0.000656526,492,0.000258305,650.9199829,-0.025873953
493,0.001225884,493,97.81669617,493,0.00041914,493,0.000117909,493,0.000736152,493,0.000366569,650.7399902,-0.026146049
494,0.001062951,494,97.94966888,494,0.000458699,494,0.000121264,494,0.000608466,494,0.000880356,650.5599976,-0.026542807
495,0.001164608,495,97.74434662,495,0.000317815,495,1.86E-05,495,0.000564442,495,0.003865216,650.3800049,-0.025545809
496,0.001734363,496,97.85581207,496,0.000334448,496,-3.21E-05,496,0.000526854,496,0.005451734,650.2000122,-0.025991615
497,0.003845831,497,98.02084351,497,0.000619028,497,-7.81E-05,497,0.000519694,497,0.003819052,650.0200195,-0.026276769
498,0.005961342,498,97.99113464,498,0.001249801,498,-6.33E-05,498,0.000382746,498,0.006304063,649.8400269,-0.02580034
499,0.003611994,499,97.7877655,499,0.001207564,499,-6.29E-05,499,9.37E-05,499,0.003810986,649.6599731,-0.025837982
500,0.001755999,500,97.89556885,500,0.000988807,500,-3.36E-05,500,-3.29E-05,500,0.00124563,649.4799805,-0.026010023
501,0.001480554,501,98.48181915,501,0.001337088,501,0.000170372,501,-5.44E-05,501,0.001466264,649.2999878,-0.025610087
502,0.002102536,502,98.61401367,502,0.002180164,502,0.000655634,502,-8.10E-05,502,0.005757121,649.1199951,-0.025873888
503,0.004497321,503,98.4286499,503,0.003312475,503,0.000136312,503,-7.02E-05,503,0.004318799,648.9400024,-0.02518826
504,0.004846729,504,98.48778534,504,0.004639927,504,-2.13E-05,504,-9.48E-05,504,0.000717676,648.7600098,-0.025143087
505,0.001913898,505,98.64083862,505,0.003489642,505,7.40E-05,505,-7.87E-05,505,0.000400509,648.5800171,-0.025072906
506,0.000790964,506,98.46024323,506,0.001273156,506,0.000372289,506,-7.90E-05,506,0.000554548,648.4000244,-0.02504891
507,0.000524597,507,98.2668457,507,0.00056783,507,0.000107104,507,-2.86E-05,507,0.001088645,648.2200317,-0.024691259
508,0.000367224,508,98.45884705,508,0.00043942,508,-4.55E-05,508,0.000224766,508,0.001900102,648.039978,-0.024997965
509,0.000334712,509,98.55738068,509,0.000463812,509,-6.11E-05,509,0.000906447,509,0.00286669,647.8599854,-0.024693061
510,0.000349023,510,98.02710724,510,0.000653747,510,1.86E-05,510,0.00028904,510,0.002669665,647.6799927,-0.024912206
